Title,Length,Number of Ratings
Reminders of Him,10 hrs and 17 mins,37085
Failure Mode,19 hrs and 22 mins,18662
Tom Lake,11 hrs and 22 mins,16219
Match Game,20 hrs and 20 mins,12764
Starter Villain,8 hrs and 5 mins,11685
The Inmate,8 hrs and 5 mins,10898
Dawnshard,7 hrs and 5 mins,10681
Light Bringer,30 hrs and 8 mins,7255
Black Cake,12 hrs and 2 mins,6944
Someone Else's Shoes,12 hrs and 21 mins,5724
Phantasma,13 hrs and 14 mins,5010
The Primal Hunter 10,20 hrs and 23 mins,4476
Orconomics: A Satire,11 hrs and 46 mins,4060
I Will Find You,10 hrs and 16 mins,3903
In the Likely Event,10 hrs and 30 mins,3508
Bits and Pieces,6 hrs and 43 mins,3499
Nocticadia,18 hrs and 37 mins,3130
Edgedancer,6 hrs and 24 mins,3076
The Book of Cold Cases,10 hrs and 44 mins,2733
Point Nemo,9 hrs and 31 mins,2404
Hell Divers XII: Heroes,13 hrs and 17 mins,2342
The Change,15 hrs and 25 mins,2255
Yumi and the Nightmare Painter,14 hrs and 43 mins,2094
The Sunlit Man,11 hrs and 11 mins,2075
Gray After Dark,9 hrs and 12 mins,2044
The Magnolia Palace,11 hrs and 9 mins,1942
The Armor of Light,21 hrs and 39 mins,1877
Starship Troopers,8 hrs and 15 mins,1857
Knight of Shadows,13 hrs and 18 mins,1613
Gravesong,19 hrs and 58 mins,1449
Only for the Week,7 hrs and 3 mins,1422
The Locked Door,7 hrs and 25 mins,1413
Small Mercies,10 hrs and 23 mins,1410
A Fever in the Heartland,10 hrs and 29 mins,1270
The Quiet Tenant,10 hrs and 44 mins,1255
Brothers,6 hrs and 9 mins,1221
Blood at the Root,14 hrs and 54 mins,1137
Chain Gang All Stars,13 hrs and 39 mins,1122
The Power of Regret,5 hrs and 29 mins,1121
We Over Me,6 hrs and 40 mins,1046
The Adventures of Amina al-Sirafi,16 hrs and 59 mins,1040
Drumindor,20 hrs and 39 mins,1026
Ask Not,11 hrs and 18 mins,981
The Penthouse Affair,9 hrs and 4 mins,950
Swamp Spies,9 hrs and 44 mins,948
Check & Mate,9 hrs and 31 mins,923
The Davenports,12 hrs and 1 min,858
Wrath of the Triple Goddess,8 hrs and 38 mins,848
Forged in Blood,10 hrs and 33 mins,843
The Bonus,14 hrs and 5 mins,840
The Perfect Marriage,8 hrs and 47 mins,828
Murder Road,9 hrs and 10 mins,770
Only the Beautiful,12 hrs and 28 mins,770
The White Lady,10 hrs and 6 mins,753
The Senator's Wife,9 hrs and 7 mins,746
The Book That Wouldn't Burn,22 hrs and 28 mins,733
The Striker,15 hrs and 45 mins,733
Miss Marple: The Complete Short Stories,12 hrs and 12 mins,719
Rise of the Living Forge,22 hrs and 43 mins,718
The Ghost Orchid,10 hrs and 7 mins,715
The Phoenix Crown,11 hrs and 35 mins,698
A Killing on the Hill,11 hrs and 29 mins,674
Practice Makes Perfect,10 hrs and 13 mins,673
Stone Blind,8 hrs and 40 mins,663
The Wrong Daughter,12 hrs and 44 mins,650
The Mighty Red,11 hrs and 27 mins,641
What Jonah Knew,11 hrs and 28 mins,589
We Three Queens,8 hrs and 35 mins,572
Playground,13 hrs and 51 mins,554
Past Life Hero: Book 1,16 hrs and 58 mins,547
Do the New You,9 hrs and 42 mins,545
Black River Orchard,22 hrs and 18 mins,516
The Wind Knows My Name,7 hrs and 59 mins,480
The Ascent,10 hrs and 44 mins,475
The Kind Worth Saving,8 hrs and 37 mins,462
"Shrubley, the Monster Adventurer",14 hrs and 14 mins,458
Wandering Stars,9 hrs and 37 mins,457
The Celebrants,9 hrs and 43 mins,455
The Accomplice,11 hrs and 38 mins,448
What the Fireflies Knew,8 hrs and 35 mins,439
Influence Is Your Superpower,7 hrs and 10 mins,436
Hotel Magnifique,10 hrs and 38 mins,423
The Truth About the Devlins,9 hrs and 40 mins,408
Rogue Justice,12 hrs and 32 mins,400
Flint,6 hrs and 38 mins,398
The Book of Boundaries,11 hrs and 11 mins,388
The Witchstone,17 hrs and 43 mins,388
Mister Magic,10 hrs and 33 mins,385
Crook Manifesto,10 hrs and 47 mins,381
The Boyfriend Goal,11 hrs and 51 mins,355
The Urgent Life,7 hrs and 56 mins,333
Choosing to Run,5 hrs and 31 mins,331
The Hurricane Wars,16 hrs and 32 mins,323
The Silent Watcher,8 hrs,322
House of Bane and Blood,12 hrs and 56 mins,309
Shadows of Pecan Hollow,15 hrs and 43 mins,305
Death in the Spires,9 hrs and 8 mins,304
A Most Agreeable Murder,9 hrs and 7 mins,301
Into the Magic Shop,6 hrs and 49 mins,299
I Cheerfully Refuse,11 hrs and 55 mins,296
Drama Free,7 hrs and 36 mins,296
A Brief History of Intelligence,12 hrs and 17 mins,290
Governor,20 hrs and 36 mins,287
To Valor's Bid,18 hrs and 37 mins,284
Silver Nitrate,13 hrs and 3 mins,279
The 6 Phase Meditation Method,5 hrs and 26 mins,278
My Murder,7 hrs and 52 mins,274
When Things Fall Apart,5 hrs and 18 mins,274
First Contact,5 hrs and 27 mins,274
Fire Weather,14 hrs and 18 mins,271
More: A Memoir of Open Marriage,8 hrs and 43 mins,268
The Road to Roswell,14 hrs,251
Down in the Hollow,9 hrs and 42 mins,250
The Book That Broke the World,15 hrs and 28 mins,249
Ascendance of a Bookworm: Part 1 Volume 1,8 hrs and 12 mins,248
Better Living Through Birding,10 hrs and 25 mins,248
The Plantagenets,21 hrs and 43 mins,245
Happily Never After,7 hrs and 39 mins,243
They Hate Each Other,10 hrs and 37 mins,242
Must Love Flowers,8 hrs and 31 mins,238
The Wolf and the Dove,21 hrs and 51 mins,237
Demon's Ascent,21 hrs and 47 mins,235
Everything She Ever Wanted,20 hrs and 23 mins,232
The Haunting of Maddy Clare,9 hrs and 45 mins,224
Quietly Hostile,9 hrs and 31 mins,223
The Dregs of Empire,9 hrs and 4 mins,223
Gut Check,8 hrs and 59 mins,221
Everyone Who Is Gone Is Here,18 hrs and 14 mins,209
Finding Margaret Fuller,13 hrs and 22 mins,206
The Warm Hands of Ghosts,11 hrs and 38 mins,204
Pathological,9 hrs and 13 mins,201
Mrs. Nash's Ashes,9 hrs and 28 mins,198
Banyan Moon,12 hrs and 24 mins,197
Willie,9 hrs and 45 mins,197
Return to Midnight,10 hrs and 7 mins,196
The Watchmaker's Daughter,8 hrs and 49 mins,193
Rejection,8 hrs and 1 min,192
Somehow,4 hrs and 16 mins,180
The Vicious Circle,10 hrs and 31 mins,179
The Destroyer of Worlds,9 hrs and 6 mins,178
The Shadow Riders,5 hrs and 7 mins,178
The Gathering,10 hrs and 22 mins,175
Jacqueline in Paris,13 hrs and 9 mins,175
Live Learn Love Well,5 hrs and 27 mins,174
Talia Hibbert's Brown Sisters Book Set,31 hrs and 7 mins,173
The Caretaker,6 hrs and 3 mins,168
The Librarian of Burned Books,10 hrs and 49 mins,167
They Called Us Exceptional,9 hrs and 30 mins,164
Undead Kingdom,12 hrs and 30 mins,164
An American Story,8 hrs,162
A Crane Among Wolves,10 hrs and 4 mins,162
Ship Wrecked,12 hrs and 27 mins,162
Power,17 hrs and 9 mins,161
Killing Time,7 hrs and 5 mins,160
The Last Ranger,8 hrs and 2 mins,157
Unraveling,5 hrs and 52 mins,155
Life in Five Senses,7 hrs and 20 mins,151
Flipping Boxcars,8 hrs and 23 mins,147
Jezebel,8 hrs and 40 mins,147
Earth's First Starfighter Omnibus: Books 1-4,42 hrs and 40 mins,145
Natural Beauty,7 hrs and 45 mins,144
Out of the Darkness,13 hrs and 4 mins,139
Black Shield Maiden,14 hrs and 23 mins,137
What an Owl Knows,9 hrs and 14 mins,137
The Weaver and the Witch Queen,16 hrs and 26 mins,136
Elven Star,13 hrs and 31 mins,135
When I Think of You,10 hrs and 48 mins,135
Suburban Hell,8 hrs and 50 mins,134
The Chemistry of Levi,10 hrs and 36 mins,133
Girls of Flight City,9 hrs and 28 mins,132
Run Like a Pro (Even If You're Slow),8 hrs and 4 mins,132
The Underworld,11 hrs and 55 mins,129
Ms. Demeanor,7 hrs and 27 mins,126
Schrader's Chord,12 hrs and 30 mins,126
The Backyard Bird Chronicles,6 hrs and 29 mins,125
While Idaho Slept,6 hrs and 33 mins,124
Rogue,13 hrs and 7 mins,124
The Rigor of Angels,10 hrs and 14 mins,123
The Counterfeit Scoundrel,11 hrs and 14 mins,121
A Fire in the Sky,11 hrs and 16 mins,120
The Ship Beneath the Ice,11 hrs and 57 mins,120
Blood Orange,11 hrs and 46 mins,120
The Pivot Year,5 hrs and 14 mins,120
The Wedding Witch,6 hrs and 30 mins,119
Real Self-Care,6 hrs and 15 mins,119
Up Home,6 hrs and 51 mins,118
Within Arm's Reach,11 hrs and 52 mins,117
Talking at Night,13 hrs and 17 mins,117
The Man I Never Met,10 hrs and 18 mins,116
Only Love Can Hurt Like This,9 hrs and 49 mins,114
Totality,4 hrs and 41 mins,113
Late Bloomers,12 hrs and 14 mins,113
Gilt,10 hrs and 37 mins,112
Best Men,10 hrs,111
The Great Santini,18 hrs and 4 mins,110
Everything We Never Said,9 hrs and 14 mins,109
Petals on the River,18 hrs and 8 mins,109
